[13/Feb/2022 12:22:15] INFO [django.utils.autoreload:643] Watching for file changes with StatReloader
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:321] Waiting for apps ready_event.
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:333] Apps ready_event triggered. Sending autoreload_started signal.
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:287] Watching dir /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/PrestAr/accounts/templates with glob **/*.
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:287] Watching dir /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/venv/lib/python3.9/site-packages/django_filters/templates with glob **/*.
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:287] Watching dir /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/PrestAr/prestamos/templates with glob **/*.
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:287] Watching dir /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/PrestAr/templates with glob **/*.
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:287] Watching dir /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/PrestAr/locale with glob **/*.mo.
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:287] Watching dir /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/PrestAr/prestamos/locale with glob **/*.mo.
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:287] Watching dir /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/PrestAr/accounts/locale with glob **/*.mo.
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:287] Watching dir /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/venv/lib/python3.9/site-packages/django_filters/locale with glob **/*.mo.
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/PrestAr/prestamos/urls.py first seen with mtime 1644282876.9077394
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /opt/homebrew/Cellar/python@3.9/3.9.9/Frameworks/Python.framework/Versions/3.9/lib/python3.9/concurrent/futures/_base.py first seen with mtime 1636999517.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/venv/lib/python3.9/site-packages/django/core/files/utils.py first seen with mtime 1642289765.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/venv/lib/python3.9/site-packages/django/utils/translation/__init__.py first seen with mtime 1642289765.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /opt/homebrew/Cellar/python@3.9/3.9.9/Frameworks/Python.framework/Versions/3.9/lib/python3.9/email/mime/nonmultipart.py first seen with mtime 1636999517.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/venv/lib/python3.9/site-packages/django/conf/global_settings.py first seen with mtime 1642289764.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/venv/lib/python3.9/site-packages/django/core/checks/security/base.py first seen with mtime 1642289765.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /opt/homebrew/Cellar/python@3.9/3.9.9/Frameworks/Python.framework/Versions/3.9/lib/python3.9/weakref.py first seen with mtime 1636999517.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /opt/homebrew/Cellar/python@3.9/3.9.9/Frameworks/Python.framework/Versions/3.9/lib/python3.9/lib-dynload/_lzma.cpython-39-darwin.so first seen with mtime 1642289553.7024593
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /opt/homebrew/Cellar/python@3.9/3.9.9/Frameworks/Python.framework/Versions/3.9/lib/python3.9/lib-dynload/_queue.cpython-39-darwin.so first seen with mtime 1642289553.7790816
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/venv/lib/python3.9/site-packages/django/views/defaults.py first seen with mtime 1642289765.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /opt/homebrew/Cellar/python@3.9/3.9.9/Frameworks/Python.framework/Versions/3.9/lib/python3.9/typing.py first seen with mtime 1636999517.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /opt/homebrew/Cellar/python@3.9/3.9.9/Frameworks/Python.framework/Versions/3.9/lib/python3.9/lib-dynload/termios.cpython-39-darwin.so first seen with mtime 1642289554.1813898
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/venv/lib/python3.9/site-packages/django/db/backends/sqlite3/schema.py first seen with mtime 1642289765.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/venv/lib/python3.9/site-packages/django/db/backends/sqlite3/base.py first seen with mtime 1642289765.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/venv/lib/python3.9/site-packages/django/contrib/sites/__init__.py first seen with mtime 1642289765.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/venv/lib/python3.9/site-packages/sqlparse/engine/grouping.py first seen with mtime 1642289763.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /opt/homebrew/Cellar/python@3.9/3.9.9/Frameworks/Python.framework/Versions/3.9/lib/python3.9/lib-dynload/_statistics.cpython-39-darwin.so first seen with mtime 1642289553.9140007
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /opt/homebrew/Cellar/python@3.9/3.9.9/Frameworks/Python.framework/Versions/3.9/lib/python3.9/lib-dynload/_datetime.cpython-39-darwin.so first seen with mtime 1642289553.547098
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /opt/homebrew/Cellar/python@3.9/3.9.9/Frameworks/Python.framework/Versions/3.9/lib/python3.9/cgi.py first seen with mtime 1636999517.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/venv/lib/python3.9/site-packages/django/db/backends/base/features.py first seen with mtime 1642289765.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /opt/homebrew/Cellar/python@3.9/3.9.9/Frameworks/Python.framework/Versions/3.9/lib/python3.9/shutil.py first seen with mtime 1636999517.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/venv/lib/python3.9/site-packages/django/template/response.py first seen with mtime 1642289765.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/venv/lib/python3.9/site-packages/django/contrib/__init__.py first seen with mtime 1642289764.0
